athlete_name,date,event,location,distance,current_type,temp,field_size
Marc-Antoine OLIVIER,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Mario SANZULLO,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Timothy SHUTTLEWORTH,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Kirill ABROSIMOV,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Fernando PONTE,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Andrea MANZI,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Kristof RASOVSZKY,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Logan FONTAINE,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Vitaliy KHUDYAKOV,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
David HERON,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Chad HO,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Krzysztof PIELOWSKI,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Logan VANHUYS,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Eric HEDLIN,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Antonio ARROYO,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Tobias Patrick ROBINSON,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Andrew GEMMELL,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Marwan ELAMRAWY,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
David FARINANGO,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Ventsislav AYDARSKI,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Johndry SEGOVIA,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Danie MARAIS,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Jack Alan MCLOUGHLIN,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Ivan ENDERICA OCHOA,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Matan RODITI,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Marcus HERWIG,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Igor CHERVYNSKIY,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Ruwen STRAUB,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Georgios ARNIAKOS,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
Tamas FARKAS,7/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0
